accession_number;gene_names;protein_names;ksmbr_number;kust_number
Q1Q6F1;;Methyltranfer_dom domain-containing protein;KSMBR1_3372;kuste2397
A0A2C9CJS7;mdh;Malate dehydrogenase (EC 1.1.1.37);KSMBR1_3373;
Q1Q6E7;;GGDEF domain-containing protein;KSMBR1_3374;kuste2401
Q1Q6E6;;Uncharacterized protein;KSMBR1_3375;kuste2402
A0A2C9CJM1;;Uncharacterized protein;KSMBR1_3376;
Q1Q6E3;;Uncharacterized protein;KSMBR1_3377;kuste2405
A0A2C9CJX3;;PDZ domain-containing protein;KSMBR1_3378;
Q1Q6F7;;Uncharacterized protein;KSMBR1_3379;kuste2409
A0A2C9CJN7;alr;Alanine racemase (EC 5.1.1.1);KSMBR1_3380;
Q1Q6F5;bioF;8-amino-7-oxononanoate synthase (EC 2.3.1.47);KSMBR1_3381;kuste2411
Q1Q6F4;bioB bioB_2;Biotin synthase (EC 2.8.1.6);KSMBR1_3382;kuste2412
A0A2C9CJT7;;Uncharacterized protein;KSMBR1_3383;
Q1Q6H0;rpoE;RNA polymerase sigma factor;KSMBR1_3385;kuste2415
Q1Q6G9;rsrA;Anti-sigma factor RsrA;KSMBR1_3386;kuste2416
A0A2C9CJN1;;Uncharacterized protein;KSMBR1_3387;
Q1Q6G6;zitB;Strongly similar to cation (Co/Zn/Cd) diffusion facilitator family protein;KSMBR1_3388;kuste2419
A0A2C9CJX9;;Uncharacterized protein;KSMBR1_3389;
A0A2C9CJD0;fdhA_2;Uncharacterized protein;KSMBR1_3390;
Q1Q6G1;;DUF362 domain-containing protein;KSMBR1_3391;kuste2424
Q1Q6H9;;Uncharacterized protein;KSMBR1_3392;kuste2425
Q1Q6H8;ppiC;Strongly similar to peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8);KSMBR1_3393;kuste2426
Q1Q6H7;;Putative_PNPOx domain-containing protein;KSMBR1_3394;kuste2427
Q1Q6H2;;Probable membrane transporter protein;KSMBR1_3395;kuste2432
A0A2C9CJM0;;GGDEF domain-containing protein;KSMBR1_3396;
A0A2C9CJP1;hao_5;MULTIHEME_CYTC domain-containing protein;KSMBR1_3397;
Q1Q6I5;;Uncharacterized protein;KSMBR1_3398;kuste2436
A0A2C9CJY9;;Uncharacterized protein;KSMBR1_3399;
Q1Q6I1;;Uncharacterized protein;KSMBR1_3400;kuste2440
A0A2C9CJQ4;;Uncharacterized protein;KSMBR1_3401;
A0A2C9CJN3;;Uncharacterized protein;KSMBR1_3402;
A0A2C9CM62;;Y1_Tnp domain-containing protein;KSMBR1_3403;
A0A2C9CJV5;;Uncharacterized protein;KSMBR1_3404;
A0A2C9CJ07;;TIR domain-containing protein;KSMBR1_3405;
A0A2C9CJN0;;DUF1863 domain-containing protein;KSMBR1_3406;
A0A2C9CJQ1;;Uncharacterized protein;KSMBR1_3407;
A0A2C9CJI7;;TIR domain protein;KSMBR1_3408;
A0A2C9CJZ9;;TIR domain protein;KSMBR1_3409;
A0A2C9CJE7;;Uncharacterized protein;KSMBR1_3410;
A0A2C9CJR3;;Uncharacterized protein;KSMBR1_3411;
A0A2C9CJP3;;Y1_Tnp domain-containing protein;KSMBR1_3412;
A0A2C9CM72;;Uncharacterized protein;KSMBR1_3413;
A0A2C9CJW5;;Uncharacterized protein;KSMBR1_3414;
A0A2C9CJ17;;Uncharacterized protein;KSMBR1_3415;
A0A2C9CJN9;;Putative orf;KSMBR1_3416;
A0A2C9CJR1;vacB rnr;Ribonuclease R (RNase R) (EC 3.1.13.1);KSMBR1_3417;
A0A2C9CJJ8;yhaM;Strongly similar to exoribonuclease YhaM (EC 3.1.-.-);KSMBR1_3418;
A0A2C9CK08;;zf-IS66 domain-containing protein;KSMBR1_3419;
A0A2C9CJS4;;Uncharacterized protein;KSMBR1_3421;
A0A2C9CJQ3;hao_6;MULTIHEME_CYTC domain-containing protein;KSMBR1_3422;
A0A2C9CM82;;Uncharacterized protein;KSMBR1_3423;
A0A2C9CJX5;;Uncharacterized protein;KSMBR1_3424;
A0A2C9CJ25;;Putative c554 cytochrome protein;KSMBR1_3425;
Q1Q6L3;galT;Similar to galactose-1-phosphate uridyltransferase (EC 2.7.7.12);KSMBR1_3426;kuste2462
Q1Q6L2;glgA;Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase);KSMBR1_3427;kuste2463
Q1Q6L1;;Uncharacterized protein;KSMBR1_3428;kuste2464
Q1Q6L0;cheY cheY_8;Similar to two component response regulator;KSMBR1_3429;kuste2465
A0A2C9CJG7;glgC_2 glgC;Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase);KSMBR1_3430;
A0A2C9CJT4;;Uncharacterized protein;KSMBR1_3431;
Q1Q6K6;;Uncharacterized protein;KSMBR1_3432;kuste2469
Q1Q6M5;;Amino_oxidase domain-containing protein;KSMBR1_3433;kuste2470
Q1Q6M4;;PMT_2 domain-containing protein;KSMBR1_3434;kuste2471
Q1Q6M3;;Uncharacterized protein;KSMBR1_3435;kuste2472
Q1Q6M2;;Cna protein B-type domain protein;KSMBR1_3436;kuste2473
Q1Q6M1;;Uncharacterized protein;KSMBR1_3437;kuste2474
Q1Q6M0;;Uncharacterized protein;KSMBR1_3438;kuste2475
Q1Q3U0;;DDE_Tnp_1 domain-containing protein;KSMBR1_3439;kuste3916
Q1Q6L8;;ZT_dimer domain-containing protein;KSMBR1_3440;kuste2477
A0A2C9CJU2;;MULTIHEME_CYTC domain-containing protein;KSMBR1_3441;
Q1Q6L6;hao hao_7;Similar to copper oxidase and hydroxylamine oxidoreductase (Fusion protein) (EC 1.7.2.1) (EC 1.7.3.4);KSMBR1_3442;kuste2479
A0A2C9CMA0;;Uncharacterized protein;KSMBR1_3443;
Q1Q6N3;;Uncharacterized protein;KSMBR1_3444;kuste2481
Q1Q6N2;;HD-GYP domain-containing protein;KSMBR1_3445;kuste2482
Q1Q6N1;;Hypothetical pentaheme protein (Putative pentaheme protein);KSMBR1_3446;kuste2483
Q1Q6N0;;Uncharacterized protein;KSMBR1_3447;kuste2484
Q1Q6M9;;Uncharacterized protein;KSMBR1_3448;kuste2485
Q1Q6M7;apbE;Similar to membrane associated lipoprotein involved in thiamine biosynthesis apbE;KSMBR1_3449;kuste2487
A0A2C9CJI6;;Uncharacterized protein;KSMBR1_3450;
A0A2C9CJV1;tnpA_2;Uncharacterized protein;KSMBR1_3451;
A0A2C9CJT3;;Uncharacterized protein;KSMBR1_3452;
Q1Q2U5;;Y1_Tnp domain-containing protein;KSMBR1_3453;kuste3578
A0A2C9CK01;;Uncharacterized protein;KSMBR1_3454;
A0A2C9CJ55;;HSDR_N domain-containing protein;KSMBR1_3455;
Q1Q2W0;;DAO domain-containing protein;KSMBR1_3456;kuste3582
A0A2C9CJU9;cobK;Uncharacterized protein;KSMBR1_3457;
A0A2C9CJN5;;Uncharacterized protein;KSMBR1_3458;
A0A2C9CK49;;Metallophos_2 domain-containing protein;KSMBR1_3459;
A0A2C9CJJ6;rfaG_2;Uncharacterized protein;KSMBR1_3460;
A0A2C9CJV8;;Uncharacterized protein;KSMBR1_3461;
Q1Q2V4;;UPF0056 membrane protein;KSMBR1_3462;kuste3588
Q1Q2W2;;Uncharacterized protein;KSMBR1_3463;kuste3589
Q1Q2X0;actP;Copper-transporting P-type ATPase (EC 3.6.3.4);KSMBR1_3464;kuste3590
Q1Q2W9;;Uncharacterized protein;KSMBR1_3465;kuste3591
Q1Q2W8;;SIR2_2 domain-containing protein;KSMBR1_3466;kuste3592
A0A2C9CJV9;;Uncharacterized protein;KSMBR1_3467;
A0A2C9CJP6;;Putative transposase;KSMBR1_3468;
Q1Q2W3;;CMD domain-containing protein;KSMBR1_3469;kuste3597
A0A2C9CJK3;;Uncharacterized protein;KSMBR1_3470;
A0A2C9CJW8;icdA;Isocitrate dehydrogenase [NADP] (EC 1.1.1.42);KSMBR1_3471;
Q1Q2X6;acpP acpP_2;Similar to acyl carrier protein;KSMBR1_3472;kuste3603
Q1Q2X5;fabZ fabZ_2;Strongly similar to hydroxymyristoyl acyl carrier protein dehydratase (EC 4.2.1.-);KSMBR1_3473;kuste3604
Q1Q2X4;fabF fabF_2;3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179);KSMBR1_3474;kuste3605
Q1Q2X3;fabF fabF_3;Similar to beta-ketoacyl acyl carrier protein synthase II (EC 2.3.1.41);KSMBR1_3475;kuste3606
A0A2C9CJU8;ctrI;Uncharacterized protein;KSMBR1_3476;
Q1Q2X1;;B12-binding domain-containing protein;KSMBR1_3477;kuste3608
A0A2C9CJQ5;;Uncharacterized protein;KSMBR1_3478;
A0A2C9CK68;pdhD;Dihydrolipoyl dehydrogenase (EC 1.8.1.4);KSMBR1_3479;
A0A2C9CJL3;;Uncharacterized protein;KSMBR1_3480;
A0A2C9CJY5;;Reverse transcriptase domain-containing protein;KSMBR1_3481;
A0A2C9CJW3;;Uncharacterized protein;KSMBR1_3482;
A0A2C9CMD9;;DDE_Tnp_1 domain-containing protein;KSMBR1_3483;
A0A2C9CK30;;Uncharacterized protein;KSMBR1_3484;
A0A2C9CJ83;;Tnp_DDE_dom domain-containing protein;KSMBR1_3485;
A0A2C9CJV7;cumD;AB hydrolase-1 domain-containing protein;KSMBR1_3486;
A0A2C9CJX7;hemN;Heme chaperone HemW;KSMBR1_3487;
Q1Q3K7;efp;Elongation factor P (EF-P);KSMBR1_3488;kuste3832
A0A2C9CK78;crtE;Uncharacterized protein;KSMBR1_3489;
A0A2C9CJM2;;Uncharacterized protein;KSMBR1_3490;
A0A2C9CJZ2;moaA_3;Radical_SAM domain-containing protein;KSMBR1_3491;
A0A2C9CJW9;;Macro domain-containing protein;KSMBR1_3492;
A0A2C9CME9;ndh;Nitroreductase domain-containing protein;KSMBR1_3493;
A0A2C9CK39;;DUF4139 domain-containing protein;KSMBR1_3494;
Q1Q3L7;;Uncharacterized protein;KSMBR1_3495;kuste3840
A0A2C9CJW6;wrbA;NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (NAD(P)H:quinone oxidoreductase) (NQO);KSMBR1_3496;
A0A2C9CJY6;;Uncharacterized protein;KSMBR1_3497;
A0A2C9CJS3;;Uncharacterized protein;KSMBR1_3498;
A0A2C9CK88;adh_3;PKS_ER domain-containing protein;KSMBR1_3499;
A0A2C9CK03;;Uncharacterized protein;KSMBR1_3501;
A0A2C9CJY3;;Uncharacterized protein;KSMBR1_3502;
A0A2C9CMF8;;Uncharacterized protein;KSMBR1_3503;
A0A2C9CK56;;HTH_33 domain-containing protein;KSMBR1_3504;
A0A2C9CJA0;atpE;V-type proton ATPase subunit E;KSMBR1_3505;
Q1Q3P6;;Uncharacterized protein;KSMBR1_3506;kuste3865
Q1Q3P5;atpA;V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A);KSMBR1_3507;kuste3866
A0A2C9CJT2;atpB;V-type ATP synthase beta chain (V-ATPase subunit B);KSMBR1_3508;
Q1Q3P2;;Uncharacterized protein;KSMBR1_3509;kuste3869
Q1Q3P1;;V-type ATP synthase subunit I;KSMBR1_3510;kuste3870
Q1Q3P0;;ATP-synt_C domain-containing protein;KSMBR1_3511;kuste3871
A0A2C9CJZ5;;HTH_33 domain-containing protein;KSMBR1_3512;
Q1Q3Q5;;Uncharacterized protein;KSMBR1_3513;kuste3875
A0A2C9CK65;;Thioredox_DsbH domain-containing protein;KSMBR1_3514;
Q1Q3Q2;;Uncharacterized protein;KSMBR1_3515;kuste3878
Q1Q3Q1;;Hypothetical signal transduction protein (Putative signal transduction protein);KSMBR1_3516;kuste3879
A0A2C9CK09;cheW;CheW-like domain-containing protein;KSMBR1_3517;
A0A2C9CJU3;;HD-GYP domain-containing protein;KSMBR1_3518;
Q1Q3R4;;Uncharacterized protein;KSMBR1_3519;kuste3884
Q1Q3R3;;PINc domain-containing protein;KSMBR1_3520;kuste3885
Q1Q3R1;;Phage_integrase domain-containing protein;KSMBR1_3521;kuste3887
Q1Q3Q9;menH menG;Demethylmenaquinone methyltransferase (EC 2.1.1.163);KSMBR1_3523;kuste3889
Q1Q3Q8;yhdG;tRNA-dihydrouridine synthase (EC 1.3.1.-);KSMBR1_3524;kuste3890
A0A2C9CK74;;Uncharacterized protein;KSMBR1_3525;
Q1Q3S3;cbiD;Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase);KSMBR1_3526;kuste3893
A0A2C9CJZ7;cbiE;TP_methylase domain-containing protein;KSMBR1_3527;
Q1Q3S1;;Uncharacterized protein;KSMBR1_3528;kuste3895
Q1Q3S0;;Uncharacterized protein;KSMBR1_3529;kuste3896
A0A2C9CKB9;;Uncharacterized protein;KSMBR1_3530;
Q1Q3R8;;Uncharacterized protein;KSMBR1_3531;kuste3898
A0A2C9CK32;cobI;Strongly similar to precorrin-2 C20-methyltransferase (EC 2.1.1.130);KSMBR1_3532;
A0A2C9CK16;;Uncharacterized protein;KSMBR1_3533;
A0A2C9CMI6;;DDE_Tnp_1 domain-containing protein;KSMBR1_3534;
A0A2C9CK84;;PPC domain-containing protein;KSMBR1_3535;
A0A2C9CJC8;rcc1_3;Uncharacterized protein;KSMBR1_3536;
A0A2C9CK07;;PA14 domain-containing protein;KSMBR1_3537;
A0A2C9CK29;;Uncharacterized protein;KSMBR1_3538;
A0A2C9CJW1;;Uncharacterized protein;KSMBR1_3539;
A0A2C9CKD0;;Uncharacterized protein;KSMBR1_3540;
A0A2C9CJS1;;Uncharacterized protein;KSMBR1_3541;
A0A2C9CK43;dys-1;Uncharacterized protein;KSMBR1_3542;
A0A2C9CK26;rfaC_1;Uncharacterized protein;KSMBR1_3543;
A0A2C9CMJ5;;Uncharacterized protein;KSMBR1_3544;
Q1Q3V0;aroA aroA_1;Strongly similar to 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase (EC 2.5.1.54) (EC 4.1.2.15);KSMBR1_3545;kuste3926
Q1Q3U9;;Uncharacterized protein;KSMBR1_3546;kuste3927
Q1Q3U8;;Uncharacterized protein;KSMBR1_3547;kuste3928
Q1Q3U7;dapC;Similar to N-succinyldiaminopimelate aminotransferase (EC 2.6.1.17);KSMBR1_3548;kuste3929
A0A2C9CJX1;trpS;Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS);KSMBR1_3549;
Q1Q3W3;argS;Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS);KSMBR1_3550;kuste3932
A0A2C9CJT1;nth_1 nth;Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase);KSMBR1_3551;
Q1Q3W1;;Uncharacterized protein;KSMBR1_3552;kuste3934
Q1Q3W0;;DDE_3 domain-containing protein;KSMBR1_3553;kuste3935
A0A2C9CKA4;;Inosine 5-monophosphate dehydrogenase;KSMBR1_3555;
Q1Q3V5;;Uncharacterized protein;KSMBR1_3556;kuste3940
Q1Q3X1;;VWFA domain-containing protein;KSMBR1_3557;kuste3942
A0A2C9CK48;;TPR_REGION domain-containing protein;KSMBR1_3558;
Q1Q3W9;;VWFA domain-containing protein;KSMBR1_3559;kuste3944
Q1Q3W8;;Uncharacterized protein;KSMBR1_3560;kuste3945
Q1Q3W7;;DUF58 domain-containing protein;KSMBR1_3561;kuste3946
Q1Q3W6;moxR;AAA domain-containing protein;KSMBR1_3562;kuste3947
Q1Q3W5;;Glu_synthase domain-containing protein;KSMBR1_3563;kuste3948
Q1Q3W4;;Uncharacterized protein;KSMBR1_3564;kuste3949
A0A2C9CKB2;;Uncharacterized protein;KSMBR1_3565;
A0A2C9CJF7;;Uncharacterized protein;KSMBR1_3566;
A0A2C9CK36;;Uncharacterized protein;KSMBR1_3567;
A0A2C9CK59;;Uncharacterized protein;KSMBR1_3568;
Q1Q3X4;;DUF4430 domain-containing protein;KSMBR1_3569;kuste3958
Q1Q3X3;;Uncharacterized protein;KSMBR1_3570;kuste3959
Q1Q3Z1;;MotA_ExbB domain-containing protein;KSMBR1_3571;kuste3960
Q1Q3Z0;;Uncharacterized protein;KSMBR1_3572;kuste3961
A0A2C9CK52;;Uncharacterized protein;KSMBR1_3573;
A0A2C9CMM0;;Uncharacterized protein;KSMBR1_3574;
Q1Q3Y8;;Elp3 domain-containing protein;KSMBR1_3575;kuste3963
Q1Q3Y6;;Uncharacterized protein;KSMBR1_3576;kuste3965
A0A2C9CK50;;Uncharacterized protein;KSMBR1_3577;
Q1Q3Y4;;Polyphenol oxidase;KSMBR1_3578;kuste3967
Q1Q3Y3;mtaP mtaP_2;Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1);KSMBR1_3579;kuste3968
Q1Q401;thrS;Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS);KSMBR1_3580;kuste3969
Q1Q400;infC;Strongly similar to translation initiation factor IF-3;KSMBR1_3581;kuste3970
Q1Q3Z9;rpmI;50S ribosomal protein L35;KSMBR1_3582;kuste3971
Q1Q3Z8;rplT;50S ribosomal protein L20;KSMBR1_3583;kuste3972
A0A2C9CMM7;pheS;Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS);KSMBR1_3584;
Q1Q3Z6;pheT;Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS);KSMBR1_3585;kuste3974
A0A2C9CJH6;;Uncharacterized protein;KSMBR1_3586;
A0A2C9CK60;;YcfA-like protein;KSMBR1_3587;
A0A2C9CK79;;HicB family protein;KSMBR1_3588;
A0A2C9CK13;miaB_5;B12-binding domain-containing protein;KSMBR1_3589;
A0A2C9CKH9;hpt;Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8);KSMBR1_3590;
Q1Q410;;TPR_REGION domain-containing protein;KSMBR1_3591;kuste3980
A0A2C9CK91;dnaA_2 dnaA;Chromosomal replication initiator protein DnaA;KSMBR1_3592;
Q1Q0S3;pepP;Similar to Xaa-Pro aminopeptidase (stuff.X-Pro aminopeptidase aminopeptidase P II) (EC 3.4.11.9);KSMBR1_3593;kuste2851
Q1Q0S2;accB;Biotin carboxyl carrier protein of acetyl-CoA carboxylase;KSMBR1_3594;kuste2852
Q1Q0S1;accC;Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2);KSMBR1_3595;kuste2853
Q1Q0T9;;Hypothetical (Triheme) protein (Putative (Triheme) protein);KSMBR1_3596;kuste2854
Q1Q0T8;;Hypothetical (Hepta heme) protein (Putative (Hepta heme) protein);KSMBR1_3597;kuste2855
A0A2C9CK90;fdoI;Uncharacterized protein;KSMBR1_3598;
Q1Q0T6;atoC hydG;Strongly similar to sigma 54 response regulator;KSMBR1_3599;kuste2857
Q1Q0T5;;Uncharacterized protein;KSMBR1_3600;kuste2858
A0A2C9CJJ2;;Uncharacterized protein;KSMBR1_3606;
A0A2C9CMQ6;;N-acetyltransferase domain-containing protein;KSMBR1_3614;
Q1Q0J1;;ATP-grasp domain-containing protein;KSMBR1_3615;kuste2766
Q1Q0J0;;Uncharacterized protein;KSMBR1_3616;kuste2767
Q1Q0I9;;NAD(P)-bd_dom domain-containing protein;KSMBR1_3617;kuste2768
Q1Q0I8;csdB nifS;Similar to selenocysteine lyase (EC 4.4.1.16);KSMBR1_3618;kuste2769
Q1Q0I7;moeB moeB_2;Similar to molybdopterine biosynthesis protein MoeB;KSMBR1_3619;kuste2770
A0A2C9CKK5;;Uncharacterized protein;KSMBR1_3620;
Q1Q0K4;;NifU domain-containing protein;KSMBR1_3621;kuste2772
A0A2C9CKC8;;DUF1858 domain-containing protein;KSMBR1_3622;
Q1Q0K2;ccsA ccsA_3 resC;Similar to cytochrome c biogenesis protein resC;KSMBR1_3623;kuste2774
Q1Q0K1;hemA;Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70);KSMBR1_3624;kuste2775
Q1Q0K0;exsB queC;7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC);KSMBR1_3625;kuste2776
Q1Q0J9;queE;7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE);KSMBR1_3626;kuste2777
Q1Q0J7;rlmH;Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH);KSMBR1_3628;kuste2779
Q1Q0L4;;Uncharacterized protein;KSMBR1_3629;kuste2781
Q1Q0L3;;Uncharacterized protein;KSMBR1_3630;kuste2782
Q1Q0L2;;Uncharacterized protein;KSMBR1_3631;kuste2783
Q1Q0L1;;TP_methylase domain-containing protein;KSMBR1_3632;kuste2784
Q1Q0L0;;Uncharacterized protein;KSMBR1_3633;kuste2785
Q1Q0K9;;Uncharacterized protein;KSMBR1_3634;kuste2786
Q1Q0K8;rfe rfe_5;Similar to N-acetylglucosaminyltransferases (O-GlcNAc transferase) (EC 2.4.1.-);KSMBR1_3635;kuste2787
Q1Q0K6;;SpoVT / AbrB like domain protein;KSMBR1_3636;kuste2789
Q1Q0M5;;Uncharacterized protein;KSMBR1_3637;kuste2790
Q1Q0M4;leuA leuA_1;2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase);KSMBR1_3638;kuste2791
A0A2C9CK66;aroD aroE;"Multifunctional fusion protein [Includes: 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1);Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)]";KSMBR1_3639;
Q1Q0M2;aroK;Shikimate kinase (SK) (EC 2.7.1.71);KSMBR1_3640;kuste2793
Q1Q0M1;;Uncharacterized protein;KSMBR1_3641;kuste2794
A0A2C9CKE4;;Uncharacterized protein;KSMBR1_3642;
A0A2C9CKC3;dgkA;Diacylglycerol kinase (EC 2.7.1.107);KSMBR1_3643;
Q1Q0L7;pgt;Similar to phosphoglycerol transferase (EC 3.1.6.14);KSMBR1_3644;kuste2798
A0A2C9CKK2;;Uncharacterized protein;KSMBR1_3645;
A0A2C9CJM8;cysH;PAPS_reduct domain-containing protein;KSMBR1_3646;
A0A2C9CKB7;acpS;Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS);KSMBR1_3647;
A0A2C9CKE1;;B12-binding domain-containing protein;KSMBR1_3648;
A0A2C9CK76;fabF_4;PKS_KS domain-containing protein;KSMBR1_3649;
A0A2C9CKM8;fabB;PKS_KS domain-containing protein;KSMBR1_3650;
A0A2C9CK34;;Putative orf;KSMBR1_3651;
A0A2C9CKF1;;Uncharacterized protein;KSMBR1_3652;
A0A2C9CMU9;;Uncharacterized protein;KSMBR1_3654;
A0A2C9CKE6;;Uncharacterized protein;KSMBR1_3663;
A0A2C9CMV7;;Transposase;KSMBR1_3664;
A0A2C9CKL6;;Integrase catalytic domain-containing protein;KSMBR1_3665;
A0A2C9CJP8;;Uncharacterized protein;KSMBR1_3666;
A0A2C9CKD5;chbP;N,N'-diacetylchitobiose phosphorylase (EC 2.4.1.280);KSMBR1_3667;
A0A2C9CKF5;dnaJ_3 dnaJ;Chaperone protein DnaJ;KSMBR1_3668;
A0A2C9CK96;;Cobalamin biosynthesis protein CbiG;KSMBR1_3669;
A0A2C9CKP3;cobA_3;Strongly similar to uroporphyrinogen III synthase/methyltransferase (EC 2.1.1.107);KSMBR1_3670;
A0A2C9CK51;asrA;Anaerobic sulfite reductase subunit A;KSMBR1_3671;
A0A2C9CKH1;pyrK_2;FAD-binding FR-type domain-containing protein;KSMBR1_3672;
A0A2C9CKF6;hoxY;NAD-reducing hydrogenase HoxS subunit delta (EC 1.12.1.2);KSMBR1_3673;
A0A2C9CMW4;hoxH;NAD-reducing hydrogenase HoxS subunit beta (EC 1.12.1.2);KSMBR1_3674;
A0A2C9CKM6;xerD_3;Uncharacterized protein;KSMBR1_3675;
A0A2C9CJQ8;;DDE_Tnp_1 domain-containing protein;KSMBR1_3676;
A0A2C9CMX2;tnpA_18;Tnp_DDE_dom domain-containing protein;KSMBR1_3684;
A0A2C9CKN6;;EcsC protein family protein;KSMBR1_3685;
A0A2C9CKH6;;Uncharacterized protein;KSMBR1_3688;
A0A2C9CKB6;;Uncharacterized protein;KSMBR1_3689;
A0A2C9CKR1;;AAA-like domain protein;KSMBR1_3690;
A0A2C9CK71;;Uncharacterized protein;KSMBR1_3691;
A0A2C9CKJ2;;Uncharacterized protein;KSMBR1_3692;
A0A2C9CKH5;;Uncharacterized protein;KSMBR1_3693;
A0A2C9CMY2;;Uncharacterized protein;KSMBR1_3694;
A0A2C9CKP7;;Uncharacterized protein;KSMBR1_3695;
A0A2C9CJS8;;Uncharacterized protein;KSMBR1_3696;
A0A2C9CKH2;;Uncharacterized protein;KSMBR1_3697;
A0A2C9CKC4;;Uncharacterized protein;KSMBR1_3699;
A0A2C9CKS2;;Uncharacterized protein;KSMBR1_3700;
Q1Q728;;Uncharacterized protein;KSMBR1_3701 KSMBR1_4007;kuste2636
A0A2C9CKK1;;Uncharacterized protein;KSMBR1_3702;
A0A2C9CKI5;;Uncharacterized protein;KSMBR1_3703;
A0A2C9CMZ1;;Uncharacterized protein;KSMBR1_3704;
A0A2C9CKQ7;;Uncharacterized protein;KSMBR1_3705;
A0A2C9CJT6;;Uncharacterized protein;KSMBR1_3706;
A0A2C9CKI2;;Uncharacterized protein;KSMBR1_3707;
A0A2C9CKJ6;;Uncharacterized protein;KSMBR1_3708;
A0A2C9CKD4;;ABC transporter domain-containing protein;KSMBR1_3709;
A0A2C9CKT1;yecS;Inner membrane amino-acid ABC transporter permease protein YecS;KSMBR1_3710;
A0A2C9CK93;flr;Flavoredoxin;KSMBR1_3711;
A0A2C9CKK9;cpsB manC rfbM;Strongly similar to GDP-mannose pyrophosphorylase (EC 2.7.7.22);KSMBR1_3712;
A0A2C9CKJ5;;Putative gluconeogenesis factor;KSMBR1_3713;
A0A2C9CN01;nfi;Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V);KSMBR1_3714;
A0A2C9CJU7;amt_4;Ammonium transporter;KSMBR1_3716;
A0A2C9CKI9;nrp_3;Strongly similar to nitrogen regulatory protein P-II;KSMBR1_3717;
A0A2C9CKK6;nrp_4;Strongly similar to nitrogen regulatory protein P-II;KSMBR1_3718;
A0A2C9CKE2;atoC_10;Strongly similar to sigma 54 response regulator (EC 2.7.3.-);KSMBR1_3719;
A0A2C9CKU0;;Uncharacterized protein;KSMBR1_3720;
A0A2C9CKA1;;Uncharacterized protein;KSMBR1_3721;
A0A2C9CKL7;amtb_1;Ammonium transporter;KSMBR1_3722;
A0A2C9CKK3;msrA_2 msrA;Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase);KSMBR1_3723;
A0A2C9CN12;;ResIII domain-containing protein;KSMBR1_3724;
A0A2C9CKS9;;Uncharacterized protein;KSMBR1_3725;
A0A2C9CJV6;;Uncharacterized protein;KSMBR1_3726;
A0A2C9CKM2;mod;N6_N4_Mtase domain-containing protein;KSMBR1_3727;
A0A2C9CKL4;;Uncharacterized protein;KSMBR1_3728;
A0A2C9CKF2;snf2;Uncharacterized protein;KSMBR1_3729;
